,Neighborhood,Latitude,Longitude,Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Anza Vista,37.7808,-122.4432,8,Health & Beauty Service,Sandwich Place,Burger Joint,Yoga Studio,Fast Food Restaurant,Event Space,Exhibit,Eye Doctor,Falafel Restaurant,Farm
1,Alamo Square,37.7764,-122.4346,8,Park,Liquor Store,Bus Station,Seafood Restaurant,Bakery,Dog Run,Rock Club,Café,Nightclub,Historic Site
2,Sutro Heights,37.7782,-122.5083,5,Motel,Trail,American Restaurant,Park,Yoga Studio,Fast Food Restaurant,Event Space,Exhibit,Eye Doctor,Falafel Restaurant
3,Seacliff,37.7868,-122.48899999999999,8,Beach,Yoga Studio,French Restaurant,Exhibit,Eye Doctor,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Filipino Restaurant
4,Lake Street,37.7856,-122.4794,8,Café,Bus Stop,Event Space,Liquor Store,Playground,Pizza Place,Pet Store,Grocery Store,Farm,Exhibit
5,Presidio,37.7978,-122.4652,0,Trail,Tennis Court,Park,Yoga Studio,Farmers Market,Ethiopian Restaurant,Event Space,Exhibit,Eye Doctor,Falafel Restaurant
6,Presidio Terrace,37.7871,-122.4637,8,Convenience Store,Sushi Restaurant,Yoga Studio,Vegetarian / Vegan Restaurant,Other Nightlife,Golf Course,Café,Burmese Restaurant,Dog Run,Coffee Shop
7,Outer Richmond,37.7777,-122.4927,8,Bus Stop,Antique Shop,Thrift / Vintage Store,Bakery,Seafood Restaurant,Bus Station,Vietnamese Restaurant,Chinese Restaurant,Pizza Place,Japanese Restaurant
8,Outer Sunset,37.7552,-122.4956,8,Hardware Store,Ice Cream Shop,Dessert Shop,Pizza Place,Bus Station,Yoga Studio,Filipino Restaurant,Exhibit,Eye Doctor,Falafel Restaurant
9,Lakeshore,37.7227,-122.4967,4,Golf Course,Yoga Studio,Fountain,Event Space,Exhibit,Eye Doctor,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
10,Inner Richmond,37.7799,-122.4688,8,Korean Restaurant,Japanese Curry Restaurant,Furniture / Home Store,Grocery Store,Thai Restaurant,Marijuana Dispensary,Massage Studio,Sushi Restaurant,Fast Food Restaurant,Bakery
11,Inner Sunset,37.7624,-122.46799999999999,8,Bakery,Ice Cream Shop,Liquor Store,Vietnamese Restaurant,Art Gallery,Chinese Restaurant,Sandwich Place,Frozen Yogurt Shop,Brewery,Nail Salon
12,Fishermans Wharf,37.8076,-122.4128,8,Seafood Restaurant,Coffee Shop,Tour Provider,Diner,American Restaurant,Bakery,Ice Cream Shop,Hotel,Bar,Furniture / Home Store
13,Aquatic Park / Ft. Mason,37.8059,-122.4255,8,Chocolate Shop,Gift Shop,Park,Cooking School,Snack Place,Beer Garden,Garden,Mini Golf,Playground,Food Truck
14,Union Street,37.7988,-122.4309,8,Cosmetics Shop,Spa,Pet Store,American Restaurant,Motel,Café,Italian Restaurant,Vegetarian / Vegan Restaurant,Sushi Restaurant,Accessories Store
15,Presidio Heights,37.7888,-122.4522,8,Playground,Cosmetics Shop,Gourmet Shop,Coffee Shop,Kids Store,Yoga Studio,Miscellaneous Shop,Supermarket,Bookstore,Men's Store
16,Laurel Heights / Jordan Park,37.7842,-122.4523,8,Coffee Shop,Cosmetics Shop,Thai Restaurant,Gourmet Shop,Bookstore,Supermarket,Physical Therapist,Filipino Restaurant,Eye Doctor,Falafel Restaurant
17,Northern Waterfront,37.8008,-122.4,8,Food Truck,Pier,Street Food Gathering,Seafood Restaurant,Coffee Shop,Clothing Store,Exhibit,Office,Science Museum,Gym
18,Lone Mountain,37.778,-122.4527,8,College Gym,Lounge,Filipino Restaurant,Event Space,Exhibit,Eye Doctor,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
19,Panhandle,37.774,-122.4457,8,Coffee Shop,Café,Bank,Yoga Studio,French Restaurant,Supermarket,Middle Eastern Restaurant,Mexican Restaurant,Massage Studio,Scenic Lookout
20,Haight Ashbury,37.77,-122.447,8,Boutique,Thrift / Vintage Store,Clothing Store,Gift Shop,Bookstore,Shoe Store,Gastropub,Bar,Indian Restaurant,Coffee Shop
21,Ashbury Heights,37.7628,-122.4489,8,Bar,Playground,Breakfast Spot,Bakery,Organic Grocery,Sushi Restaurant,Gym,Italian Restaurant,Wine Bar,Food
22,Castro,37.7609,-122.435,8,Gay Bar,Thai Restaurant,Coffee Shop,Pet Store,Clothing Store,Wine Bar,Plaza,Cycle Studio,Pilates Studio,Pizza Place
23,Noe Valley,37.748000000000005,-122.432,8,Trail,Coffee Shop,Martial Arts Dojo,Jewelry Store,Deli / Bodega,Video Store,Bus Stop,Yoga Studio,Exhibit,Eye Doctor
24,Glen Park,37.736,-122.4361,8,Grocery Store,Bubble Tea Shop,Health & Beauty Service,Mexican Restaurant,Gift Shop,Sushi Restaurant,Park,Gym,Library,Trail
